dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01002139,5869,5307,5519,6265,5860,2667,3781,4426
Data Zone S01002140,1413,1400,1697,2448,804,2130,554,1949
Data Zone S01002141,3313,2895,2989,4774,3788,5435,1469,516
Data Zone S01002142,5154,5139,4852,5449,5097,1758,4848,3692
Data Zone S01002143,4423,3840,4602,3948,3687,5323,4319,1343
Data Zone S01002144,6445,6385,6332,6101,6467,3558,6297,3779
Data Zone S01002145,6448,6316,6144,6375,6345,4098,4604,3974
Data Zone S01002146,4532,3673,4631,5893,3267,3534,589,5128
Data Zone S01002147,2354,2030,2273,3274,2401,3854,953,1846
Data Zone S01002148,6473,6491,6292,6296,6491,3413,6437,4994
Data Zone S01002149,1489,1422,1693,1388,1334,5544,505,942
Data Zone S01002150,4738,3813,4926,5096,3560,4515,1044,3842
Data Zone S01002151,3257,3484,3472,4005,1754,3959,98,3943
Data Zone S01002152,6286,6237,6333,5828,6283,2979,5888,2956
Data Zone S01002153,6166,5582,6108,5505,4871,4698,5446,4213
Data Zone S01002154,1407,1537,1457,1547,1268,1831,556,3423
Data Zone S01002155,1297,1176,1588,1325,832,5034,555,1764
Data Zone S01002156,5689,6168,6256,6475,6407,5110,1209,116
Data Zone S01002157,6497,6453,6477,6482,6395,4717,4972,4545
Data Zone S01002158,6456,6463,6485,6442,5519,3751,5022,4694
Data Zone S01002159,3727,3864,4881,3048,1600,4742,874,2500
Data Zone S01002160,1720,1440,1640,2229,1505,5730,400,2563
Data Zone S01002161,3197,3959,3939,2055,4549,5809,697,8
Data Zone S01002162,3546,3320,3052,4027,3554,2267,4725,4040
Data Zone S01002163,3319,3513,3462,4714,1988,4298,187,1667
Data Zone S01002164,2285,2328,3100,2128,2324,1564,1710,1282
Data Zone S01002165,4546,4334,4302,5546,4198,1605,2303,4585
Data Zone S01002166,6468,6224,6299,6432,6034,5490,2450,4423
Data Zone S01002167,2294,1907,1946,2422,3087,3373,2715,3684
Data Zone S01002168,4114,3125,3527,4170,5361,5928,388,3586
Data Zone S01002169,6222,5238,6148,6267,5848,4049,2117,5766
Data Zone S01002170,2073,2051,2010,1384,2574,3891,1450,2494
Data Zone S01002171,4063,4019,3299,3843,3425,4094,2483,4368
Data Zone S01002172,5506,4781,4975,4419,5567,3770,5323,5757
Data Zone S01002173,5437,4114,5429,4377,5745,6043,3735,3056
Data Zone S01002174,5081,4094,4707,5892,3829,5997,866,4543
Data Zone S01002175,5131,4714,5491,5139,3348,5753,485,2832
Data Zone S01002176,3760,3522,3963,2831,4296,2106,5354,2628
Data Zone S01002177,6425,5696,6432,6381,6033,5187,1334,5608
Data Zone S01002178,5721,4709,5128,5545,6339,6189,532,4337
Data Zone S01002179,6186,5694,6040,5621,4820,4391,5456,4858
Data Zone S01002180,5997,5712,6112,6018,4560,5698,1454,2252
Data Zone S01002181,3413,3174,3185,3838,3793,3908,327,2219
Data Zone S01002182,5685,5051,4772,6466,5573,4920,1318,3949
Data Zone S01002183,3759,3982,4100,4041,2284,6166,130,1254
Data Zone S01002184,6332,6196,6244,5842,5975,4210,5221,2669
Data Zone S01002185,1298,1294,1843,1212,633,3973,512,1947
Data Zone S01002186,5884,5631,6118,6452,2935,5936,772,5270
Data Zone S01002187,6410,5937,6141,6495,6012,5261,1776,4469
Data Zone S01002188,6118,5784,6071,5973,5971,2455,5434,4378
Data Zone S01002189,3508,3344,3263,2545,3964,5863,564,2493
Data Zone S01002190,5415,5118,5344,6145,4593,6410,492,1238
Data Zone S01002191,438,564,333,723,430,4062,1087,780
Data Zone S01002192,2950,2777,2590,3052,3489,2930,1284,3122
Data Zone S01002193,6500,6193,6423,6274,6465,5898,5884,4373
Data Zone S01002194,3124,2716,2900,3458,2666,4674,1092,3269
Data Zone S01002195,5359,4182,5895,3813,5240,6154,683,4647
Data Zone S01002196,5188,4583,5542,5192,5084,1971,3236,4084
Data Zone S01002197,3144,3031,2720,3915,3200,4431,427,1854
Data Zone S01002198,4036,3518,3935,3500,3789,5803,163,3981
Data Zone S01002199,5587,5018,4924,6077,4907,5859,1518,2696
Data Zone S01002200,6498,6412,6452,6269,6476,4212,6240,5743
Data Zone S01002201,6283,5768,5821,5724,5941,6102,1142,4581
