GeographyCode,GR-denominatorindP,GR-Percchild,GR-Percpens,GR-Percwork
S01002297,929,17.44,28.96,53.61
S01002298,744,25.13,11.56,63.31
S01002299,841,22.12,22.95,54.93
S01002300,792,18.06,24.49,57.45
S01002301,860,23.14,6.05,70.81
S01002302,932,30.9,10.73,58.37
S01002303,832,18.99,17.79,63.22
S01002304,798,9.9,4.64,85.46
S01002305,834,14.03,11.99,73.98
S01002306,775,26.45,10.45,63.1
S01002307,692,4.48,5.35,90.17
S01002308,911,15.81,19.54,64.65
S01002309,741,18.62,23.48,57.89
S01002310,848,11.44,17.92,70.64
S01002311,782,16.11,19.44,64.45
S01002312,653,22.36,13.32,64.32
S01002313,737,23.34,12.48,64.18
S01002314,831,13.6,24.19,62.21
S01002315,558,19.53,23.48,56.99
S01002316,751,22.1,20.91,56.99
S01002317,879,10.01,13.31,76.68
S01002318,845,17.99,10.77,71.24
S01002319,1105,17.1,28.51,54.39
S01002320,638,16.77,22.1,61.13
S01002321,892,24.1,10.65,65.25
S01002322,689,16.11,14.22,69.67
S01002323,785,16.56,24.97,58.47
S01002324,761,19.97,17.87,62.16
S01002325,577,11.09,33.62,55.29
S01002326,827,13.54,18.5,67.96
S01002327,800,21.38,18.25,60.38
S01002328,765,18.82,10.85,70.33
S01002329,708,21.75,10.73,67.51
S01002330,798,21.8,18.92,59.27
S01002331,709,18.48,23.98,57.55
S01002332,958,29.44,3.86,66.7
S01002333,834,23.98,5.88,70.14
S01002334,827,22.01,15.36,62.64
S01002335,983,17.29,18.82,63.89
S01002336,1019,25.91,5.89,68.2
S01002337,977,23.64,7.98,68.37
S01002338,579,22.63,21.24,56.13
